ISO,Year,PPP_a_t_na,PPP_n_t_na,PPP_t_na,rVA_a_t,rVA_n_t,rVA_t
ARG,1970,0.08072164795688622,0.11571442150613015,0.11050859351106672,32842205168.953655,241396867779.234,276758348473.40765
ARG,1971,0.11212679276101509,0.13085866479938957,0.12733162173511295,33358975598.875713,250534366671.98505,286849622702.00476
ARG,1972,0.10579124697428695,0.11917428917156556,0.11640632044073704,34000926441.89454,254531547291.40814,291484315441.75073
ARG,1973,0.11140888072092403,0.12686998319542686,0.12422533478068318,37643997481.255516,260113211927.65332,299411022051.8522
ARG,1974,0.10699072950678741,0.14068120260877548,0.1355043029595999,38671118831.31602,277490916543.2775,318626096174.9556
ARG,1975,0.07816116404170284,0.16268075731062157,0.15116952017931382,37615109693.38118,275671766060.10223,316112218748.34064
ARG,1976,0.09737452419297751,0.16740039613197422,0.15766275292204268,39377264758.32913,273480945367.0342,314691708024.30457
ARG,1977,0.10935655626322725,0.17650394694013777,0.16694818497162633,40346610532.640976,294289348368.4782,337562207841.9046
ARG,1978,0.09996413808539333,0.18930670471969752,0.17703101656087794,41482863525.95316,285643633688.99615,328874876541.69867
ARG,1979,0.1175690248151122,0.20349507119467078,0.191488943471542,42654423816.92329,306655886772.54694,352071505022.794
ARG,1980,0.1116456937262923,0.22258634225187693,0.20737968944838273,40304883728.27539,319311208059.5332,364424215058.97266
ARG,1981,0.11446761930543052,0.24263193823421517,0.22521438849322423,41541574721.476364,305345284845.9986,350073918371.3444
ARG,1982,0.1649306084476719,0.24772209661006794,0.2360904059536232,43902530253.251884,294790843732.593,339984492693.521
ARG,1983,0.15836500252250274,0.264194797213094,0.24948054580912327,44633302203.70983,303738314926.2022,349984946724.6918
ARG,1984,0.16134035414325062,0.27370450683891734,0.25807004597188626,44633302203.70984,307956013357.0541,354516546868.31647
ARG,1985,0.14438696835220022,0.2773553974669854,0.259156662767323,43790103800.16343,286285518560.7474,330786610714.9184
ARG,1986,0.17673282834870518,0.32115490000490743,0.30119991560637915,43902530253.251884,306669130560.4373,352746819630.2533
ARG,1987,0.1944588725512128,0.3188840364833606,0.30118307891609497,42553412806.96244,315286567718.52,361291020837.9551
ARG,1988,0.23219683591396578,0.3761793278852521,0.35618856829226625,46094846104.625725,307846117443.3374,355172608643.49066
ARG,1989,0.16421097339630164,0.2445699670808925,0.23319182553702625,42159920217.30787,287051708417.94446,330746364019.68933
ARG,1990,0.2360546638067613,0.47605211272753084,0.44326951437812184,45701353516.50913,279001010316.3592,323972286376.4796
ARG,1991,0.25701241587812695,0.5839407219716518,0.5393787023993015,47612603232.854836,309031745691.2837,357250388302.50336
ARG,1992,0.27302876488419736,0.6401006655027458,0.5906437682733003,47162897417.42502,341545942243.72314,391946254232.0267
ARG,1993,0.23499099971516782,0.5720389981843619,0.5269358244304788,48624441318.340904,364403130121.4222,417278722325.5156
ARG,1994,0.23548019162805278,0.587357512089128,0.5402959968630378,52258566983.814896,386776674286.9112,443242304035.6724
ARG,1995,0.235099930987555,0.6058713709331655,0.5559612488229495,55196285308.15518,384090144097.94934,441911851866.3142
ARG,1996,0.2630300373182472,0.5998829340753157,0.5544951356530983,54561514018.82125,406204248989.0179,465335576807.16693
ARG,1997,0.262261160917608,0.597362939465528,0.5524532425165132,54813021131.22954,438642727851.6551,500321501564.2849
ARG,1998,0.24766780181260628,0.5888132835577304,0.5431486710537172,59598500244.05583,455128242214.825,520568675491.0224
ARG,1999,0.1945399182590709,0.5880391108171005,0.5357734797983409,61069880881.7015,439851337199.6746,504934135514.23126
ARG,2000,0.20837876225166171,0.5921668323022269,0.5411530453627165,59998214043.95637,437220034164.6043,501539367755.3795
ARG,2001,0.1903211076315722,0.5934481395574165,0.5394347394827507,60629223132.66596,417143277010.6182,480302627192.1648
ARG,2002,0.16516683455089137,0.23615926958993996,0.22647320671209864,59244132967.54001,373608511023.28503,432794149942.897
ARG,2003,0.19861548337539067,0.2720479488006697,0.26200261887654674,63315274253.11407,400755146631.52246,464117534147.78577
ARG,2004,0.22242091076247103,0.293638171027123,0.2830184447771888,62392327979.11446,433204713464.64435,498493298791.3999
ARG,2005,0.2148947708496275,0.3303041132823903,0.3145367748499611,74114897649.03314,468370547107.71014,542485444756.74335
ARG,2006,0.22049899380975485,0.3598493083049312,0.34035830769115083,73725386291.51999,507750379754.2384,584589804172.474
ARG,2007,0.2698531076782673,0.406541710636301,0.3871800033200973,80019752202.91718,548258604816.27954,631446789049.5876
ARG,2008,0.3419077432842046,0.48841345329290103,0.4666289886456505,78270663474.15543,572914310169.7106,657011051701.9894
ARG,2009,0.3066745810060943,0.47808679658001363,0.4515425242213922,57840880204.25288,552923733538.5094,624711625352.5741
ARG,2010,0.37691552650856014,0.5513099205101778,0.525584999947799,80701897001.87338,593760365769.6602,680696325216.2812
ARG,2011,0.47121394892987556,0.6470726104157456,0.6189033188315933,78742064903.10526,631076326906.4905,719751457164.2795
ARG,2012,0.4900136271084308,0.7202968111351811,0.6833736579936354,68603903589.77362,630327610370.3019,713577132580.3007
ARG,2013,0.4854187166383157,0.7473860532464548,0.7079104120450684,76477312522.98875,639463848124.1041,727563646157.1509
ARG,2014,0.4827360501731085,0.6996066352840022,0.6663634915302935,78851361971.55779,625872322157.0864,714218036401.8158
ARG,2015,0.39217333171634067,0.7955149308495368,0.7404100029177675,84798301508.58757,640172629095.6256,732732560412.9323
ARG,2016,0.43227307817223276,0.6943453387955706,0.6563841508951163,80798413677.04384,627725647123.7394,717240590700.4261
ARG,2017,0.40286447771213474,0.7904253199844016,0.7371708072889411,83581971261.65411,644357410676.9772,736584539632.0985
ARG,2018,0.3335790420435102,0.6595710868208811,0.6147152683411697,71394447562.31062,637269909236.2511,722514180031.3306
ARG,2019,0.2746781761494011,0.572381348662339,0.5318130883115627,86698128239.54848,614835286447.778,706515771162.1733
ARG,2020,0.30581688276647173,0.5396531338260995,0.5072877150057051,80184108597.92587,552297602324.4757,635873443208.1454
ARG,2021,0.43434515307249555,0.6034582747277192,0.5775225274703453,81678733769.41777,615471517112.3818,704540728073.033
ARG,2022,0.5291535634392176,0.7537642119462404,0.7184252837236215,79384267441.27463,650778536944.9309,741260157617.5232
ARG,2023,0.6262758993975437,0.7717415565584297,0.738719736135413,61173229288.53849,654705779141.0881,735833834787.6941
AUS,1970,0.10988747636499338,0.1655303448819486,0.16240856913017637,23668604879.909554,226034456448.59497,246393678638.95474
AUS,1971,0.11368716396893579,0.18083059975321586,0.17702516228461979,26249121005.352406,234877392358.74857,256783879002.4328
AUS,1972,0.1857711845925244,0.2058580228186913,0.20578356343096116,23042304500.096264,245188382907.3861,266078548807.5242
AUS,1973,0.28592617781065827,0.27493332175029767,0.2780713666264251,24294905260.95695,259223309745.0628,281279140580.95996
AUS,1974,0.2288598747214763,0.33677063565382553,0.33069112088575126,26851637826.485477,264714856297.15875,288164534433.21686
AUS,1975,0.19802304207778307,0.36209128599862356,0.3513191185143827,29073025274.213844,268600965032.20428,293224001562.4681
AUS,1976,0.20067163392323734,0.3737591942193347,0.36224532164444007,29849276776.78115,277664102435.33154,303025071058.97565
AUS,1977,0.18429813568450604,0.36241186623783694,0.3500945523946934,28871866299.780663,284497094287.10803,309705344658.9364
AUS,1978,0.2498812719053339,0.401910316127662,0.3936356220439178,35139881214.787544,295407509021.56165,323924249761.2892
AUS,1979,0.3207771065703617,0.4311183289599947,0.4258414354344172,30819282628.955868,306011357392.8132,333018850562.5125
AUS,1980,0.3574123610590002,0.4849481988242244,0.47658884928387274,27019475989.20273,319885181332.7722,345758901983.06903
AUS,1981,0.32607992665531943,0.5372168908835214,0.5233914411927413,31438802906.044563,329646712008.62225,357941168915.6599
AUS,1982,0.2907677042382063,0.5345641946279832,0.5168401828537749,24566076963.60051,323506406528.1455,348420980871.1877
AUS,1983,0.28090049103045184,0.5137855958895962,0.4983400679728624,35201586421.66889,334606903486.40405,364819852730.2298
AUS,1984,0.2750711327161406,0.523968004430615,0.5068794705097728,35271930357.51362,354623292898.75757,385719999164.0459
AUS,1985,0.23257715498091414,0.4372842026513047,0.42286967720121926,32807424394.67276,372778222735.9403,403529253864.24115
AUS,1986,0.23777714246344892,0.4449263542577455,0.4302822726653102,33159144073.89641,384553765537.17865,415965524985.0116
AUS,1987,0.30576185908744596,0.4963548716356058,0.4826602253264029,32443363674.072826,411113863605.66003,443331148832.36005
AUS,1988,0.3855942836189022,0.5967360010833322,0.5815767028461636,33874924473.72001,429836744644.51886,463500405077.67615
AUS,1989,0.36616462873575695,0.6319415413107806,0.6130610791803827,36650424679.24284,447262063683.72986,482926705175.3386
AUS,1990,0.2657933933806787,0.6421689314029515,0.6148644570929984,38681760089.776665,449066855473.69147,485730042676.78955
AUS,1991,0.2739069775505836,0.643017295783794,0.616325304319886,36629444908.90318,455421419268.3491,491423778776.2564
AUS,1992,0.2752213975340749,0.6232109746007176,0.5980748163864519,38555881467.73872,468209666150.5344,505630395486.2706
AUS,1993,0.26379743613349893,0.5789115441914895,0.556178879139255,40151578117.69027,489785230330.1665,528848214862.06934
AUS,1994,0.3183851049427922,0.6232592286355912,0.6007300146350478,34268603693.62297,516927807717.55963,554476439609.777
AUS,1995,0.3193290605140189,0.648325229206932,0.6245338728502724,41489347002.8778,535047660513.8061,576643905150.2891
AUS,1996,0.31386805707427895,0.6949044165322045,0.6673918800010837,44821428174.47035,555800631309.8202,599792026214.5635
AUS,1997,0.293397138114488,0.6708529288786687,0.6435710931309953,45145997562.66622,580136724907.3796,625311067932.7719
AUS,1998,0.23960032610793056,0.571826906072764,0.5477821787098381,49685032580.85785,607637281430.456,656041599437.0237
AUS,1999,0.25048413897177924,0.6008378294706378,0.5754558027585357,53091160000.70802,632729380041.9185,683747107875.7711
AUS,2000,0.2598186270169542,0.5544214001996638,0.533245382025455,55199009867.77472,649485998093.0824,702173295917.0935
AUS,2001,0.27094956945374726,0.5073874368429204,0.4905878033673452,56965012888.718765,675206937707.0343,729790183776.2773
AUS,2002,0.2818663213053487,0.5496727433966677,0.5297717962734538,44698017760.707664,701038910299.2299,751155213786.4917
AUS,2003,0.3055245999647652,0.6812893469387844,0.654125905583022,56156674678.57316,725343621322.132,781693743175.5529
AUS,2004,0.3353826609541087,0.8058284336194429,0.7718249896666567,58563177746.94558,751267267597.9095,809812597716.779
AUS,2005,0.34592023919346276,0.8811247925688684,0.8424413169937234,60266241456.87065,773546293817.5763,833812535274.4469
AUS,2006,0.35372309406255753,0.9142725881629216,0.874336726104991,51143743671.53282,806837184145.242,864380760024.5294
AUS,2007,0.4178264207173487,1.0634261631416928,1.0172382682799712,55329824906.36317,835614075998.7944,896281787498.7761
AUS,2008,0.3752150748042153,1.1302550489955883,1.0758703877359617,64890429660.55855,852535320069.8656,918261371106.4012
AUS,2009,0.34814390180044735,1.059146797234807,1.0081694122970102,64412831359.29694,872299830981.5688,938650285463.3752
AUS,2010,0.4478357679535791,1.3254352872290707,1.2624006217592656,66608302620.135155,894185716440.8593,962463786313.4651
AUS,2011,0.5222524127815152,1.5196926214018607,1.4483217148584144,67220418272.39808,931785091974.7366,1001941032679.3756
AUS,2012,0.545825917708196,1.5177102125148287,1.4483273655974593,66647793952.53921,958177900875.6045,1029197206563.4446
AUS,2013,0.5088221783431276,1.427359738898645,1.361940512078729,67387022330.977715,986283092719.9949,1058833903838.0145
AUS,2014,0.5087358944632459,1.3177009943961646,1.2598236747472538,68376773849.35445,1009245315122.3789,1083222439683.8486
AUS,2015,0.4718532087477412,1.0841274111130808,1.0398735010835114,63498360193.31543,1039133585652.0366,1112169035768.2769
AUS,2016,0.5092289166088829,1.112090758477151,1.0682328856506886,69443039824.26407,1061722571648.9795,1138416800557.8743
AUS,2017,0.514419333363686,1.1688633114930722,1.121477868921683,67514135057.153275,1095343055472.1779,1172592811531.1833
AUS,2018,0.5096332400932369,1.1790890430062906,1.130780340497857,60403227016.14723,1126419115322.514,1201764728601.1667
AUS,2019,0.5074547005824676,1.1162724101918595,1.0716870067053275,54626385547.91585,1130885161235.59,1203799535342.7932
AUS,2020,0.4970421071038424,1.1394769291427946,1.093023224277302,66534256371.87754,1148217423257.0928,1227272724520.4304
AUS,2021,0.6004214132830689,1.3306131650129878,1.277593726171907,77937378603.54984,1194050039225.822,1280230122754.0576
AUS,2022,0.5620617090249561,1.308113280808875,1.2542706640826253,81543430893.69556,1241991172119.0928,1331847770071.254
AUS,2023,0.45050240558719973,1.2877886520062092,1.2281251793470194,87427639421.90047,1261780030200.3042,1355148802485.4812
AUT,1970,0.12893872921115207,0.10606983493571873,0.10939499001719183,8303359249.472381,126278282561.87411,132226724229.70604
AUT,1971,0.14160881875398712,0.11711314685904231,0.12000548729387332,7672079943.663366,133489317499.7835,139325197536.42465
AUT,1972,0.17063445437945873,0.1367714365521337,0.14014986739694657,7728080527.193757,140990502302.78656,147000855063.00034
AUT,1973,0.21047066045854332,0.16126849823789285,0.1658123586092542,8219358374.176797,148512040693.27734,154875352921.823
AUT,1974,0.22341720361974482,0.18578734923673004,0.18994710314700539,8552816396.240295,155822603198.63995,162470046715.47568
AUT,1975,0.22874880260653754,0.21219092771415526,0.21582807614528507,8962638847.04659,157391988181.556,164238803053.66306
AUT,1976,0.23642627871072358,0.21974006929718864,0.22344890120049996,9278278499.951096,163608335616.63885,170709883376.67297
AUT,1977,0.25056807050233315,0.25280068837012704,0.2553596284935548,9072654756.56838,171729913258.88602,178911436203.8981
AUT,1978,0.2979041294114551,0.30517655073676553,0.3081524754628301,9195199989.30669,171705971469.84357,178937144927.46964
AUT,1979,0.33415061294787746,0.34645422192633124,0.3494335323097708,9490527237.880472,180736833027.0233,188271297029.4503
AUT,1980,0.382686824802068,0.3762804518951329,0.3800257440581069,9276629301.78984,184509350606.64633,192032531423.33368
AUT,1981,0.31575019611986027,0.3251040077990189,0.3272498922887002,8924031654.540836,185317167436.41608,192712419709.54016
AUT,1982,0.2727617239339178,0.3205780667635175,0.3211926589479324,9527114300.582771,189566729311.96075,197294570597.66272
AUT,1983,0.2675405968013843,0.31610179350004153,0.3162389439643282,9197978796.245684,194710355840.09167,202407472742.56815
AUT,1984,0.2641194199673994,0.2926073087212652,0.2934557047891831,9220997065.74914,195997895872.97534,203730444653.98508
AUT,1985,0.24409765229765834,0.2939380000885769,0.2935110497372822,8912173981.069897,200834181392.1858,208538105901.9062
