ISO,PPP_all,VA_nom,VA_n_nom,VA_aggregate_nom,PPPs_ag,PPPs_non_ag,cVA_all,cVA_ag,cVA_non_ag,PPP_fin_ag,PPP_fin_non_ag,PPP_fin2_all
ARG,0.512858496524331,15926903946.832573,154704718250.0002,170631622196.8328,0.6033806980016893,0.3186387827106477,542485444756.7433,74114897649.03314,468370547107.71014,0.2148947708496275,0.3303041132823903,0.3145367748499611
AUS,1.3736174011749955,20847312660.05168,681590817682.4288,702438130342.4805,0.9712734961034288,0.8500061610806605,833812535274.4469,60266241456.87066,773546293817.5763,0.34592023919346276,0.8811247925688684,0.8424413169937234
AUT,1.3364026810281522,4026108766.281579,274892315471.8789,278918424238.16046,1.0046932840831444,0.8059041670123774,340303166534.7163,11251685109.400438,329051481425.31586,0.35782273740649645,0.8354082293784496,0.8196174813134052
BGD,0.355689925370545,11134247069.389868,44144403305.11962,55278650374.50949,0.6178255013208693,0.2099849363684847,253403140192.5801,50601173556.769646,202801966635.81046,0.22003930515363077,0.21767246165020507,0.21814508822779025
BEL,1.432781204865592,3242472476.887053,341157420306.91486,344399892783.8019,0.8979110204670616,0.8620121253643048,391930676602.09076,10139313745.796095,381791362856.2947,0.319792104098902,0.8935702938762542,0.8787265538121052
BOL,0.3228180645800106,1126101409.2067847,6979397759.68758,8105499168.894365,0.5083368661158739,0.1939200948014443,40940021053.79795,6220015402.921212,34720005650.87674,0.18104479430676562,0.20101948801126818,0.1979847337704881
BWA,0.6552978413323138,158001565.2513803,9106396804.416866,9264398369.668247,1.0558199719560275,0.3881645317943438,23051787617.57708,420181649.7008916,22631605967.876186,0.37603156959342343,0.4023751923457262,0.4018950080298374
BRA,0.7384133033895831,41471394555.68475,715522502890.3645,756993897446.0493,0.4897270337828004,0.4814224994198646,1671548535908.955,237771680084.79623,1433776855824.159,0.1744168798441213,0.49904732384529266,0.45286982769806977
BGR,0.4980065516713668,2175538709.1309547,23226302515.670044,25401841224.801,0.8252733288657501,0.2957256152611487,83168001630.25757,7401752697.017164,75766248933.2404,0.2939221017216201,0.3065520973083323,0.3054280579895464
KHM,0.3985105510969262,1939400809.807697,4718405244.722297,6657806054.529994,1.216230845591784,0.1999603680223229,27240648408.256218,4477309580.094854,22763338828.161366,0.4331620977092698,0.20728089496629482,0.24440703300264013
CMR,0.5305327338099839,3264813174.0584755,14852543662.100142,18117356836.158615,1.1601514608011665,0.2998760569165952,55681224669.31711,7901493886.174391,47779730783.142715,0.41318935647992716,0.31085448617346134,0.32537640728549033
CAN,1.2600974147321702,22042171728.42709,1070790409760.2506,1092832581488.6776,0.7590073809942587,0.775188476054631,1414085403608.9436,81540608445.26689,1332544795163.6768,0.27032140363807344,0.8035680403740012,0.7728193634554293
CHL,0.7492477418230599,4797451995.984047,105415206167.30338,110212658163.2874,0.621409542041218,0.4661172086685842,239845823208.64145,21676955468.88515,218168867739.7563,0.221315765623556,0.48318170809342226,0.4595146027096482
CHN,0.3701649961316963,273604266371.61115,1983293733585.5945,2256897999957.2056,1.088626641569022,0.2071601755033529,9941289222739.701,705682702238.6392,9235606520501.062,0.38771570495302715,0.21474428660241301,0.22702266772349586
HKG,0.8987451082501107,122535573.4613407,177059403394.47974,177181938967.94107,2.646319815920871,0.5315820449049165,321446747600.86365,130012594.22637418,321316735006.63727,0.9424900271429496,0.5510432047394678,0.5512015296167987
COL,0.6141493277536053,10959740184.206108,121603614328.9299,132563354513.13602,0.8333717464006791,0.3723855738808009,351945672935.1393,36925556694.97875,315020116240.1605,0.2968063629951027,0.386018568529203,0.37665857178351037
CRI,0.5645850153013686,1728288956.2658184,16448797236.947502,18177086193.21332,0.967864569771956,0.3341902032489703,52495375280.3383,5013803718.585906,47481571561.752396,0.34470614592652327,0.3464248696055676,0.3462607152752634
HRV,0.8941917810087753,1771721133.7594087,36845363407.34902,38617084541.10843,1.238444910802312,0.5353047452923093,70416581023.48055,4016837272.208752,66399743751.27179,0.44107366410319787,0.5549021927760572,0.548408968169464
CYP,1.1761789627110588,511910825.9065489,15819923670.871077,16331834496.777624,1.7445553318767937,0.6995201881187237,22640587305.96956,823901191.7197189,21816686114.24984,0.621325507295412,0.7251295447908607,0.72135206901066
CZE,0.683079525604421,3131347634.1703467,121024150489.23596,124155498123.4063,0.8659054905419096,0.4079212279950313,296360837940.49164,10153747434.496346,286207090505.9953,0.30839329561536116,0.42285517900787584,0.4189335506884224
