country1,country2,sector,GEKS_index,GEKS_index_standardized
ARG,USA,ag,0.7415759707238249,0.7415759707238249
AUS,USA,ag,1.1937290803246854,1.1937290803246854
AUT,USA,ag,1.2348031680350164,1.2348031680350164
BEL,USA,ag,1.1035640331746528,1.1035640331746528
BGD,USA,ag,0.7593291389620732,0.7593291389620732
BGR,USA,ag,1.0142897709405805,1.0142897709405805
BOL,USA,ag,0.6247637788100586,0.6247637788100586
BRA,USA,ag,0.60189164431336,0.60189164431336
BWA,USA,ag,1.297639654708843,1.297639654708843
CAN,USA,ag,0.93284660449279,0.93284660449279
CHE,USA,ag,2.9717959775999585,2.9717959775999585
CHL,USA,ag,0.7637340502976672,0.7637340502976672
CHN,USA,ag,1.3379601985131861,1.3379601985131861
CMR,USA,ag,1.4258667017019488,1.4258667017019488
COL,USA,ag,1.0242430091941102,1.0242430091941102
CRI,USA,ag,1.1895393906946388,1.1895393906946388
CYP,USA,ag,2.1441194887449577,2.1441194887449577
CZE,USA,ag,1.064228118052773,1.064228118052773
DEU,USA,ag,0.8873683032383223,0.8873683032383223
DNK,USA,ag,0.9359630209557898,0.9359630209557898
ECU,USA,ag,0.8573887000000008,0.8573887000000008
EGY,USA,ag,0.8441546935168404,0.8441546935168404
ESP,USA,ag,1.1019022036511978,1.1019022036511978
EST,USA,ag,1.3630353524137873,1.3630353524137873
ETH,USA,ag,1.160529315259943,1.160529315259943
FIN,USA,ag,1.3876187633686465,1.3876187633686465
FRA,USA,ag,1.2408469184757207,1.2408469184757207
GBR,USA,ag,1.4122260014258141,1.4122260014258141
GHA,USA,ag,1.587255138870036,1.587255138870036
GRC,USA,ag,1.697623489031483,1.697623489031483
HKG,USA,ag,3.252419563364487,3.252419563364487
HRV,USA,ag,1.5220920887224572,1.5220920887224572
HUN,USA,ag,0.8237936692846324,0.8237936692846324
IDN,USA,ag,1.1614219110616275,1.1614219110616275
IND,USA,ag,0.9525203866305584,0.9525203866305584
IRL,USA,ag,1.5039770183554557,1.5039770183554557
ISL,USA,ag,3.3136037834499965,3.3136037834499965
ISR,USA,ag,1.434588987677424,1.434588987677424
ITA,USA,ag,1.1920556872177803,1.1920556872177803
JPN,USA,ag,6.9859315430664255,6.9859315430664255
KEN,USA,ag,1.3913260311053806,1.3913260311053806
KHM,USA,ag,1.4947902260232073,1.4947902260232073
KOR,USA,ag,4.19766100943548,4.19766100943548
LAO,USA,ag,1.4405598409035247,1.4405598409035247
LKA,USA,ag,0.925576204923281,0.925576204923281
LTU,USA,ag,0.9028329382688742,0.9028329382688742
LUX,USA,ag,1.8306434363030548,1.8306434363030548
LVA,USA,ag,1.1362110236541807,1.1362110236541807
MAR,USA,ag,1.6097955015945866,1.6097955015945866
MEX,USA,ag,1.1833556771081328,1.1833556771081328
MKD,USA,ag,1.2303651026059823,1.2303651026059823
MMR,USA,ag,0.6246747773668135,0.6246747773668135
MUS,USA,ag,2.561099164198292,2.561099164198292
MWI,USA,ag,1.2469487762593447,1.2469487762593447
MYS,USA,ag,1.1521829942340944,1.1521829942340944
NAM,USA,ag,1.318663858822829,1.318663858822829
NGA,USA,ag,2.454660965626935,2.454660965626935
NLD,USA,ag,1.2139087449634278,1.2139087449634278
NOR,USA,ag,2.221808304229737,2.221808304229737
NPL,USA,ag,1.0360938802676356,1.0360938802676356
NZL,USA,ag,1.32114178048869,1.32114178048869
PAK,USA,ag,1.1476049438061102,1.1476049438061102
PER,USA,ag,0.885580376729224,0.885580376729224
PHL,USA,ag,0.7689976071738658,0.7689976071738658
POL,USA,ag,0.75924614655679,0.75924614655679
PRT,USA,ag,1.5637106402029484,1.5637106402029484
ROU,USA,ag,1.7350164896094344,1.7350164896094344
RUS,USA,ag,1.2051460096081004,1.2051460096081004
RWA,USA,ag,1.4056276304280875,1.4056276304280875
SEN,USA,ag,1.7743878729348892,1.7743878729348892
SGP,USA,ag,2.7868885848748857,2.7868885848748857
SVK,USA,ag,1.1200281269637111,1.1200281269637111
SVN,USA,ag,1.3782191461074893,1.3782191461074893
SWE,USA,ag,1.1120275848484622,1.1120275848484622
THA,USA,ag,0.9503654016036259,0.9503654016036259
TUN,USA,ag,1.0548968617261856,1.0548968617261856
TUR,USA,ag,1.939444753320028,1.939444753320028
TWN,USA,ag,0.839570540708514,0.839570540708514
TZA,USA,ag,2.620768796050079,2.620768796050079
UGA,USA,ag,0.44416802477275313,0.44416802477275313
USA,USA,ag,1.0,1.0
VNM,USA,ag,1.4804488578036874,1.4804488578036874
ZAF,USA,ag,1.295971366785932,1.295971366785932
ZMB,USA,ag,5.954592166735412,5.954592166735412
ARG,USA,non_ag,0.522131020048157,0.3894831364475445
AUS,USA,non_ag,1.3928454664455778,1.0389917473356247
AUT,USA,non_ag,1.320578622613385,0.9850843641000313
BEL,USA,non_ag,1.4125187978735776,1.0536670501518464
BGD,USA,non_ag,0.34408758434275977,0.25667180538347734
BGR,USA,non_ag,0.4845848199554796,0.36147558429629645
BOL,USA,non_ag,0.3177632554492243,0.2370351973509087
BRA,USA,non_ag,0.7888732769999609,0.5884592686281288
BWA,USA,non_ag,0.6360579876943003,0.4744668493108125
CAN,USA,non_ag,1.2702469746111527,0.9475395192741575
CHE,USA,non_ag,1.8573644778147749,1.3854992608537846
CHL,USA,non_ag,0.7637935707441267,0.5697510856651543
CHN,USA,non_ag,0.33945884687597516,0.2532190030845654
CMR,USA,non_ag,0.4913858575340614,0.36654881179187665
COL,USA,non_ag,0.6102021162884127,0.4551796866943859
CRI,USA,non_ag,0.5476140419194959,0.40849217230926177
CYP,USA,non_ag,1.1462546594598915,0.8550475700387884
CZE,USA,non_ag,0.6684318997846374,0.4986161381595359
DEU,USA,non_ag,1.327964210307884,0.9905936361970932
DNK,USA,non_ag,1.8430095181155877,1.3747911923565292
ECU,USA,non_ag,0.5643454099393586,0.42097292032693984
EGY,USA,non_ag,0.35070286522845345,0.2616064678511542
ESP,USA,non_ag,1.193206458528028,0.8900712197756419
EST,USA,non_ag,0.7625112560182147,0.5687945442183063
ETH,USA,non_ag,0.26079823079982056,0.19454219154134175
FIN,USA,non_ag,1.4592623712024837,1.0885353740971062
FRA,USA,non_ag,1.415773841354096,1.0560951467317976
GBR,USA,non_ag,1.5655847965308152,1.1678464858708695
GHA,USA,non_ag,0.48309554872155536,0.3603646638396716
GRC,USA,non_ag,1.091742937467816,0.8143846030067359
HKG,USA,non_ag,0.8710662053888593,0.6497710051722705
HRV,USA,non_ag,0.8771663333584299,0.6543213898134677
HUN,USA,non_ag,0.7622335794556028,0.5685874116512467
IDN,USA,non_ag,0.39913330859227364,0.297733110890187
IND,USA,non_ag,0.3078750204395922,0.22965907787590276
IRL,USA,non_ag,1.7047210823725267,1.2716350655999453
ISL,USA,non_ag,2.039977604479815,1.5217193485310743
ISR,USA,non_ag,1.0607851890562519,0.7912917001035951
ITA,USA,non_ag,1.2825088816082781,0.9566862771044584
JPN,USA,non_ag,1.5054821651355923,1.1230129853016004
KEN,USA,non_ag,0.35837966605179633,0.2673329701039468
KHM,USA,non_ag,0.32766102743842646,0.2444184309267295
KOR,USA,non_ag,0.8654331050429588,0.6455689993415449
LAO,USA,non_ag,0.26245154735734266,0.19577548145065413
LKA,USA,non_ag,0.3231762133198515,0.24107298811215452
